@ref(networkElement)|@const(IpagDevice)class
@index(PE_Device)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|device_model|device_name|device_role|device_sub_role|device_type|ipaddress|loopback10_ipaddr|loopback_ipaddr|mcn|provision_status|ptnii|savpn_siteid|snmpcom_string|subscriber_name
143.0.68.253|143.0.68.253|143.0.68.253|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|SNJSCA022CW|IPAG1||JUNIPER MX SERIES|10.204.242.194|12.122.131.117|143.0.68.253||IN-SERVICE|SNACA304IA3|||
143.0.68.92|143.0.68.92|143.0.68.92|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|DYBHFLMAD11|IPAG2||JUNIPER MX SERIES|10.204.242.199|12.122.130.192|143.0.68.92||IN-SERVICE|DYAFL330IA2|||
148.0.131.177|148.0.131.177|148.0.131.177|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAGT1|IPAG1||JUNIPER MX SERIES|10.204.241.244|12.122.129.14|148.0.131.177||IN-SERVICE|DYAFL344IA1|||
150.0.0.132|150.0.0.132|150.0.0.132|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFLPHAD1|IPAG1||JUNIPER MX SERIES|10.204.241.67|12.122.129.107|150.0.0.132||IN-SERVICE|ORPFL304IA1|||
149.0.3.207|149.0.3.207|149.0.3.207|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|CRCYNVMAD07|IPAG2||JUNIPER MX SERIES|10.204.242.127|12.122.130.123|149.0.3.207||IN-SERVICE|CRCNV318IA2|||
150.0.0.233|150.0.0.233|150.0.0.233|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAL02|IPAG1||JUNIPER MX SERIES|10.204.242.12|12.122.130.38|150.0.0.233||IN-SERVICE|CRCNV336IA1|||
12.122.123.161|12.122.123.161|12.122.123.161|||GFPIP|true|||CL2OH301RR5|||RR|12.122.123.161|12.122.123.161|||||||
192.168.112.105|192.168.112.105|192.168.112.105|ETHERNET-NFO|IPAG|SROUTER|true|B|2950G-24-EI-DC|ORLDFLSA71W|||CISCO CATALYST 2900 SERIES|192.168.112.105||||IN-SERVICE|ORAFL61HU4|||
8.8.0.131|8.8.0.131|8.8.0.131|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAIP1|IPAG1||JUNIPER MX SERIES|12.81.161.125|12.123.76.10|8.8.0.131||IN-SERVICE|CRBNV302IA1|||
8.8.0.166|8.8.0.166|8.8.0.166|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAARO4|IPAG1||JUNIPER MX SERIES|12.81.161.179|12.123.76.64|8.8.0.166||IN-SERVICE|CRDNV310IA1|||
8.8.0.219|8.8.0.219|8.8.0.219|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA101|IPAG1||JUNIPER MX SERIES|12.81.161.244|12.123.76.129|8.8.0.219||IN-SERVICE|CRDNV340IA1|||
165.87.245.202|165.87.245.202|165.87.245.202|||GFPIP|true|||CATORO1001RR5|||RR|165.87.245.202|165.87.245.202|||||||
165.87.245.237|165.87.245.237|165.87.245.237|||GFPIP|true|||CATORO1002ME2|||AR|165.87.245.237|165.87.245.237|||||||
165.87.253.185|165.87.253.185|165.87.253.185|||GFPIP|true|||BEBRSL1002ME2|||AR|165.87.253.185|165.87.253.185|||||||
165.87.155.248|165.87.155.248|165.87.155.248|||GFPIP|true|||KRSEOL2002ME2|||AR|165.87.155.248|165.87.155.248|||||||
12.82.40.158|12.82.40.158|12.82.40.158|||GFPIP|true|||||||12.82.40.158|12.82.40.158|||||||
12.82.66.29|12.82.66.29|12.82.66.29|||GFPIP|true|||||||12.82.66.29|12.82.66.29|||||1140||
12.82.70.28|12.82.70.28|12.82.70.28|||GFPIP|true|||||||12.82.70.28|12.82.70.28|||||673||
12.82.96.21|12.82.96.21|12.82.96.21|||GFPIP|true|||||||12.82.96.21|12.82.96.21|||||930||
12.82.90.9|12.82.90.9|12.82.90.9|||GFPIP|true|||||||12.82.90.9|12.82.90.9|||||243||
12.82.122.1|12.82.122.1|12.82.122.1|||GFPIP|true|||||||12.82.122.1|12.82.122.1|||||1137||
12.82.80.14|12.82.80.14|12.82.80.14|||GFPIP|true|||||||12.82.80.14|12.82.80.14|||||515||
12.82.32.15|12.82.32.15|12.82.32.15|||GFPIP|true|||||||12.82.32.15|12.82.32.15|||||373||
12.82.24.54|12.82.24.54|12.82.24.54|||GFPIP|true|||||||12.82.24.54|12.82.24.54|||||790||
12.82.80.18|12.82.80.18|12.82.80.18|||GFPIP|true|||||||12.82.80.18|12.82.80.18|||||711||
12.82.106.12|12.82.106.12|12.82.106.12|||GFPIP|true|||||||12.82.106.12|12.82.106.12|||||||
12.82.84.31|12.82.84.31|12.82.84.31|||GFPIP|true|||||||12.82.84.31|12.82.84.31|||||648||
12.82.86.26|12.82.86.26|12.82.86.26|||GFPIP|true|||||||12.82.86.26|12.82.86.26|||||825||
12.82.0.72|12.82.0.72|12.82.0.72|||GFPIP|true|||||||12.82.0.72|12.82.0.72|||||1021||
12.82.40.30|12.82.40.30|12.82.40.30|||GFPIP|true|||||||12.82.40.30|12.82.40.30|||||397||
12.82.40.36|12.82.40.36|12.82.40.36|||GFPIP|true|||||||12.82.40.36|12.82.40.36|||||390||
12.82.40.118|12.82.40.118|12.82.40.118|||GFPIP|true|||||||12.82.40.118|12.82.40.118|||||1005||
12.82.40.17|12.82.40.17|12.82.40.17|||GFPIP|true|||||||12.82.40.17|12.82.40.17|||||391||
12.123.70.100|12.123.70.100|12.123.70.100|EGS-CFO|EGS|||||wswdc312me1||||||||||||
12.123.67.118|12.123.67.118|12.123.67.118|EGS-CFO|EGS|||||phmaz301me1||||||||||||
165.87.254.190|165.87.254.190|165.87.254.190|EGS-CFO|EGS|||||ATVINA1001ER1||||||||||||
12.122.124.229|12.122.124.229|12.122.124.229|EGS-CFO|EGS|||||santx35ck4||||||||||||
12.123.67.77|12.123.67.77|12.123.67.77|EGS-CFO|EGS|||||sd2ca301me1||||||||||||
12.123.70.197|12.123.70.197|12.123.70.197|EGS-CFO|EGS|||||phmaz308me1||||||||||||
165.87.246.48|165.87.246.48|165.87.246.48|EGS-CFO|EGS|||||BRSAPL1001ER1||||||||||||
165.87.125.149|165.87.125.149|165.87.125.149|EGS-CFO|EGS|||||MYCYBR1002CR1||||||||||||
12.123.67.78|12.123.67.78|12.123.67.78|EGS-CFO|EGS|||||an1ca301me1||||||||||||
12.122.8.68|12.122.8.68|12.122.8.68|||GFPIP|true|||CHLNC82CRS|||BR|12.122.8.68|12.122.8.68|||||||
165.87.100.1|165.87.100.1|165.87.100.1|EGS-CFO|EGS|||||INBMBA2001CR1||||||||||||
12.122.120.2|12.122.120.2|12.122.120.2|EGS-CFO|EGS|||||fldfl36ck4||||||||||||
32.119.158.110|32.119.158.110|32.119.158.110|EGS-CFO|EGS|||||ESMDRD1002ER1||||||||||||
12.122.125.67|12.122.125.67|12.122.125.67|EGS-CFO|EGS|||||ormfl48ck4||||||||||||
12.122.8.161|12.122.8.161|12.122.8.161|||GFPIP|true|||LTRAR81CRS|||BR|12.122.8.161|12.122.8.161|||||||
165.87.251.194|165.87.251.194|165.87.251.194|EGS-CFO|EGS|||||CNSHNG4001ER1||||||||||||
165.87.208.10|165.87.208.10|165.87.208.10|EGS-CFO|EGS|||||GBLOND1103ER1||||||||||||
165.87.254.165|165.87.254.165|165.87.254.165|EGS-CFO|EGS|||||ZAJHBG2001ER1||||||||||||
12.122.125.117|12.122.125.117|12.122.125.117|EGS-CFO|EGS|||||btmmd34ck4||||||||||||
12.123.80.34|12.123.80.34|12.123.80.34|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32SD1|IPAG1||JUNIPER MX SERIES|12.122.122.60|12.123.136.40|12.123.80.34||IN-SERVICE|ORGFL314IA1|||
12.122.8.93|12.122.8.93|12.122.8.93|||GFPIP|true|||WSWDC83CRS|||BR|12.122.8.93|12.122.8.93|||||||
12.123.71.43|12.123.71.43|12.123.71.43|EGS-CFO|EGS|||||wshdc301me1||||||||||||
151.164.0.137|151.164.0.137|151.164.0.137|||GFPIP|true|||DLRTX81CRS|||BR|151.164.0.137|151.164.0.137|||||||
12.122.125.164|12.122.125.164|12.122.125.164|EGS-CFO|EGS|||||sd2ca40ck4||||||||||||
12.122.8.198|12.122.8.198|12.122.8.198|||GFPIP|true|||ATNGA84CRS|||BR|12.122.8.198|12.122.8.198|||||||
12.123.70.129|12.123.70.129|12.123.70.129|EGS-CFO|EGS|||||phlpa307me1||||||||||||
143.0.68.214|143.0.68.214|143.0.68.214|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|ANHMCAGTN01|IPAG1||JUNIPER MX SERIES|10.204.243.88|12.122.131.78|143.0.68.214||IN-SERVICE|ANBCA301IA3|||
135.184.56.134|135.184.56.134|135.184.56.134|EGS-CFO|EGS|||||snfccaegs01-c6513||||||||||||
12.122.8.148|12.122.8.148|12.122.8.148|||GFPIP|true|||RCMVA82CRS|||BR|12.122.8.148|12.122.8.148|||||||
12.82.0.62|12.82.0.62|12.82.0.62|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL24Q10|IPAG1||JUNIPER MX SERIES|10.204.246.205|12.123.75.40|12.82.0.62||IN-SERVICE|ORIFL307IA1|872||
149.0.3.134|149.0.3.134|149.0.3.134|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAH06|IPAG1||JUNIPER MX SERIES|12.122.123.111|12.122.128.185|149.0.3.134||IN-SERVICE|DYAFL317IA1|||
143.0.24.152|143.0.24.152|143.0.24.152|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|GSVLFLAN001|IPAG2||JUNIPER MX SERIES|10.204.244.67|12.122.132.31|143.0.24.152||IN-SERVICE|GSHFL319IA2|||
143.0.68.24|143.0.68.24|143.0.68.24|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|DYBHFLMAJ87|IPAG2||JUNIPER MX SERIES|143.1.33.15|147.0.0.15|143.0.68.24||IN-SERVICE|DYAFL322IA2|||
143.0.68.252|143.0.68.252|143.0.68.252|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAF98|IPAG1||JUNIPER MX SERIES|10.204.243.126|12.122.131.116|143.0.68.252||IN-SERVICE|DYAFL332IA3|||
143.0.68.61|143.0.68.61|143.0.68.61|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAWAF|IPAG1||JUNIPER MX SERIES|143.1.33.48|147.0.0.46|143.0.68.61||IN-SERVICE|DYAFL343IA1|||
148.0.131.195|148.0.131.195|148.0.131.195|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAART9|IPAG1||JUNIPER MX SERIES|12.122.123.226|12.122.129.32|148.0.131.195||IN-SERVICE|CRANV364IA1|||
150.0.0.26|150.0.0.26|150.0.0.26|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAX3X|IPAG1||JUNIPER MX SERIES|12.122.123.73|12.122.128.168|150.0.0.26||IN-SERVICE|DYAFL311IA1|||
148.0.131.221|148.0.131.221|148.0.131.221|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMA73A|IPAG1||JUNIPER MX SERIES|10.204.241.16|12.122.129.61|148.0.131.221||IN-SERVICE|DYAFL349IA1|||
150.0.0.183|150.0.0.183|150.0.0.183|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|IPLSIN0833W|IPAG1||JUNIPER MX SERIES|10.204.241.138|12.122.129.173|150.0.0.183||IN-SERVICE|IPCIN301IB1|||
149.0.17.1|149.0.17.1|149.0.17.1|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFLMAPS5|IPAG1||JUNIPER MX SERIES|10.204.242.101|12.122.130.97|149.0.17.1||IN-SERVICE|ORMFL301IA3|||
150.0.0.83|150.0.0.83|150.0.0.83|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMA01W|IPAG1||JUNIPER MX SERIES|12.122.123.156|12.122.128.223|150.0.0.83||IN-SERVICE|DYAFL327IA1|||
149.0.3.223|149.0.3.223|149.0.3.223|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAL10|IPAG1||JUNIPER MX SERIES|10.204.242.144|12.122.130.140|149.0.3.223||IN-SERVICE|DYAFL310IA3|||
8.8.1.28|8.8.1.28|8.8.1.28|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAAI61|IPAG1||JUNIPER MX SERIES|12.81.162.65|12.123.76.205|8.8.1.28||IN-SERVICE|CRDNV356IA1|||
8.8.0.226|8.8.0.226|8.8.0.226|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMNRW1|IPAG1||JUNIPER MX SERIES|12.81.161.251|12.123.76.136|8.8.0.226||IN-SERVICE|DYDFL310IA1|||
12.122.8.41|12.122.8.41|12.122.8.41|||GFPIP|true|||NWRLA21CRS|||BR|12.122.8.41|12.122.8.41|||||||
8.8.0.129|8.8.0.129|8.8.0.129|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFLMAPA1|IPAG2||JUNIPER MX SERIES|12.81.161.123|12.123.76.8|8.8.0.129||IN-SERVICE|OLDFL301IB2|||
12.82.84.10|12.82.84.10|12.82.84.10|||GFPIP|true|||||||12.82.84.10|12.82.84.10|||||324||
12.82.16.40|12.82.16.40|12.82.16.40|||GFPIP|true|||||||12.82.16.40|12.82.16.40|||||520||
12.82.94.18|12.82.94.18|12.82.94.18|||GFPIP|true|||||||12.82.94.18|12.82.94.18|||||936||
12.82.118.29|12.82.118.29|12.82.118.29|||GFPIP|true|||||||12.82.118.29|12.82.118.29|||||||
12.82.64.28|12.82.64.28|12.82.64.28|||GFPIP|true|||||||12.82.64.28|12.82.64.28|||||449||
12.82.64.7|12.82.64.7|12.82.64.7|||GFPIP|true|||||||12.82.64.7|12.82.64.7|||||447||
12.82.86.30|12.82.86.30|12.82.86.30|||GFPIP|true|||||||12.82.86.30|12.82.86.30|||||1128||
12.82.16.115|12.82.16.115|12.82.16.115|||GFPIP|true|||||||12.82.16.115|12.82.16.115|||||||
12.82.58.14|12.82.58.14|12.82.58.14|||GFPIP|true|||||||12.82.58.14|12.82.58.14|||||||
12.82.104.4|12.82.104.4|12.82.104.4|||GFPIP|true|||||||12.82.104.4|12.82.104.4|||||618||
12.82.0.97|12.82.0.97|12.82.0.97|||GFPIP|true|||||||12.82.0.97|12.82.0.97|||||||
12.82.78.28|12.82.78.28|12.82.78.28|||GFPIP|true|||||||12.82.78.28|12.82.78.28|||||465||
12.82.62.5|12.82.62.5|12.82.62.5|||GFPIP|true|||||||12.82.62.5|12.82.62.5|||||1135||
12.82.72.12|12.82.72.12|12.82.72.12|||GFPIP|true|||||||12.82.72.12|12.82.72.12|||||217||
12.82.16.50|12.82.16.50|12.82.16.50|||GFPIP|true|||||||12.82.16.50|12.82.16.50|||||521||
12.82.78.19|12.82.78.19|12.82.78.19|||GFPIP|true|||||||12.82.78.19|12.82.78.19|||||1010||
12.82.60.25|12.82.60.25|12.82.60.25|||GFPIP|true|||||||12.82.60.25|12.82.60.25|||||858||
12.82.92.31|12.82.92.31|12.82.92.31|||GFPIP|true|||||||12.82.92.31|12.82.92.31|||||988||
12.82.8.42|12.82.8.42|12.82.8.42|||GFPIP|true|||||||12.82.8.42|12.82.8.42|||||688||
12.82.84.21|12.82.84.21|12.82.84.21|||GFPIP|true|||||||12.82.84.21|12.82.84.21|||||607||
12.82.64.5|12.82.64.5|12.82.64.5|||GFPIP|true|||||||12.82.64.5|12.82.64.5|||||504||
12.82.8.36|12.82.8.36|12.82.8.36|||GFPIP|true|||||||12.82.8.36|12.82.8.36|||||684||
12.82.78.9|12.82.78.9|12.82.78.9|||GFPIP|true|||||||12.82.78.9|12.82.78.9|||||469||
12.82.82.19|12.82.82.19|12.82.82.19|||GFPIP|true|||||||12.82.82.19|12.82.82.19|||||352||
12.82.0.33|12.82.0.33|12.82.0.33|||GFPIP|true|||||||12.82.0.33|12.82.0.33|||||319||
12.82.40.106|12.82.40.106|12.82.40.106|||GFPIP|true|||||||12.82.40.106|12.82.40.106|||||867||
12.82.32.47|12.82.32.47|12.82.32.47|||GFPIP|true|||||||12.82.32.47|12.82.32.47|||||755||
12.82.0.15|12.82.0.15|12.82.0.15|||GFPIP|true|||||||12.82.0.15|12.82.0.15|||||306||
12.82.40.7|12.82.40.7|12.82.40.7|||GFPIP|true|||||||12.82.40.7|12.82.40.7|||||792||
12.122.124.250|12.122.124.250|12.122.124.250|EGS-CFO|EGS|||||santx34ck4||||||||||||
32.119.158.25|32.119.158.25|32.119.158.25|EGS-CFO|EGS|||||GBLOND1003ER1||||||||||||
12.123.70.123|12.123.70.123|12.123.70.123|EGS-CFO|EGS|||||pitpa303me1||||||||||||
12.82.40.10|12.82.40.10|12.82.40.10|||GFPIP|true|||||||12.82.40.10|12.82.40.10|||||423||
12.123.70.124|12.123.70.124|12.123.70.124|EGS-CFO|EGS|||||rlgnc306me1||||||||||||
12.123.67.209|12.123.67.209|12.123.67.209|EGS-CFO|EGS|||||slkut302me1||||||||||||
135.184.204.20|135.184.204.20|135.184.204.20|EGS-CFO|EGS|||||sl9mo31c13||||||||||||
165.87.251.116|165.87.251.116|165.87.251.116|EGS-CFO|EGS|||||INCHNN1001ER1||||||||||||
12.123.70.202|12.123.70.202|12.123.70.202|EGS-CFO|EGS|||||attga314me1||||||||||||
12.123.67.10|12.123.67.10|12.123.67.10|EGS-CFO|EGS|||||n54ny302me1||||||||||||
12.82.0.27|12.82.0.27|12.82.0.27|||GFPIP|true|||||||12.82.0.27|12.82.0.27|||||705||
12.82.16.87|12.82.16.87|12.82.16.87|||GFPIP|true|||||||12.82.16.87|12.82.16.87|||||||
12.82.110.6|12.82.110.6|12.82.110.6|||GFPIP|true|||||||12.82.110.6|12.82.110.6|||||460||
12.82.84.24|12.82.84.24|12.82.84.24|||GFPIP|true|||||||12.82.84.24|12.82.84.24|||||604||
12.82.100.2|12.82.100.2|12.82.100.2|||GFPIP|true|||||||12.82.100.2|12.82.100.2|||||857||
12.82.92.8|12.82.92.8|12.82.92.8|||GFPIP|true|||||||12.82.92.8|12.82.92.8|||||553||
12.82.40.117|12.82.40.117|12.82.40.117|||GFPIP|true|||||||12.82.40.117|12.82.40.117|||||||
12.82.70.29|12.82.70.29|12.82.70.29|||GFPIP|true|||||||12.82.70.29|12.82.70.29|||||1111||
12.82.80.25|12.82.80.25|12.82.80.25|||GFPIP|true|||||||12.82.80.25|12.82.80.25|||||839||
12.82.8.14|12.82.8.14|12.82.8.14|||GFPIP|true|||||||12.82.8.14|12.82.8.14|||||272||
12.82.16.29|12.82.16.29|12.82.16.29|||GFPIP|true|||||||12.82.16.29|12.82.16.29|||||117||
12.82.16.36|12.82.16.36|12.82.16.36|||GFPIP|true|||||||12.82.16.36|12.82.16.36|||||110||
12.82.24.18|12.82.24.18|12.82.24.18|||GFPIP|true|||||||12.82.24.18|12.82.24.18|||||201||
12.82.56.5|12.82.56.5|12.82.56.5|||GFPIP|true|||||||12.82.56.5|12.82.56.5|||||772||
12.123.67.176|12.123.67.176|12.123.67.176|EGS-CFO|EGS|||||ipsin302me1||||||||||||
12.82.8.6|12.82.8.6|12.82.8.6|||GFPIP|true|||||||12.82.8.6|12.82.8.6|||||721||
12.123.71.166|12.123.71.166|12.123.71.166|EGS-CFO|EGS|||||ormfl314me1||||||||||||
165.87.103.161|165.87.103.161|165.87.103.161|EGS-CFO|EGS|||||HUBDPS1002CR1||||||||||||
12.122.8.97|12.122.8.97|12.122.8.97|||GFPIP|true|||PHLPA81CRS|||BR|12.122.8.97|12.122.8.97|||||||
12.122.124.158|12.122.124.158|12.122.124.158|EGS-CFO|EGS|||||ocyok33ck4||||||||||||
12.122.8.146|12.122.8.146|12.122.8.146|||GFPIP|true|||OMHNE82CRS|||BR|12.122.8.146|12.122.8.146|||||||
12.122.83.196|12.122.83.196|12.122.83.196|EGS-CFO|EGS|||||nwrla31ck4||||||||||||
12.123.67.22|12.123.67.22|12.123.67.22|EGS-CFO|EGS|||||nw2nj303me1||||||||||||
10.0.38.27|10.0.38.27|10.0.38.27|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFLMAU01|IPAG1||JUNIPER MX SERIES|12.122.122.218|12.122.128.92|10.0.38.27||IN-SERVICE|ORMFL312IA1|||
12.123.80.106|12.123.80.106|12.123.80.106|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|STAGFLMA52S|IPAG2||JUNIPER MX SERIES|12.122.122.140|12.122.128.15|12.123.80.106||IN-SERVICE|STBFL376IA1|||
165.87.208.179|165.87.208.179|165.87.208.179|EGS-CFO|EGS|||||IEDUBL2101ER1||||||||||||
12.123.80.73|12.123.80.73|12.123.80.73|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32IKX|IPAG1||JUNIPER MX SERIES|12.122.122.99|12.123.136.78|12.123.80.73||IN-SERVICE|ORGFL327IA1|||
12.80.4.15|12.80.4.15|12.80.4.15|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMOPKS|IPAG1||JUNIPER MX SERIES|10.204.246.161|12.123.75.4|12.80.4.15||IN-SERVICE|RLGNC309IA1|||
12.123.109.180|12.123.109.180|12.123.109.180|ETHERNET-NFO|IPAG|SROUTER|true|B|3925|GSVLFLANWA2|||CISCO 3900 SERIES|10.204.244.43||12.123.109.180||IN-SERVICE|GSHFL62NM7|||
12.80.4.9|12.80.4.9|12.80.4.9|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMOPV3|IPAG1||JUNIPER MX SERIES|10.204.246.155|12.123.74.254|12.80.4.9||IN-SERVICE|RLGNC303IA1|||
12.123.80.59|12.123.80.59|12.123.80.59|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|JCVLFLCLZP7|IPAG1||JUNIPER MX SERIES|12.122.122.85|12.123.136.64|12.123.80.59||IN-SERVICE|JCVFL303IA1|||
12.123.80.156|12.123.80.156|12.123.80.156|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32RK1|IPAG1||JUNIPER MX SERIES|12.122.122.191|12.122.128.65|12.123.80.156||IN-SERVICE|ORGFL365IA1|||
12.80.72.117|12.80.72.117|12.80.72.117|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMA786|IPAG2||JUNIPER MX SERIES|10.204.247.126|12.123.75.215|12.80.72.117||IN-SERVICE|RLFNC313IB2|||
148.0.15.164|148.0.15.164|148.0.15.164|ETHERNET-NFO|IPAG|SROUTER|true|S|2821-DC|CRCYNVMAA62|||CISCO 2800 SERIES|143.1.33.72||148.0.15.164||IN-SERVICE|CRCNV62NM9|||
12.80.72.47|12.80.72.47|12.80.72.47|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMAQV8|IPAG1||JUNIPER MX SERIES|10.204.247.45|12.123.75.134|12.80.72.47||IN-SERVICE|RLFNC319IA1|||
149.0.3.201|149.0.3.201|149.0.3.201|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAL02|IPAG1||JUNIPER MX SERIES|10.204.242.120|12.122.130.116|149.0.3.201||IN-SERVICE|DYAFL303IA3|||
150.0.0.230|150.0.0.230|150.0.0.230|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMA4BW|IPAG2||JUNIPER MX SERIES|10.204.242.9|12.122.130.35|150.0.0.230||IN-SERVICE|DYAFL398IA1|||
8.8.0.7|8.8.0.7|8.8.0.7|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAS13|IPAG1||JUNIPER MX SERIES|10.204.247.232|12.123.76.3|8.8.0.7||IN-SERVICE|CRBNV304IA1|||
12.122.8.17|12.122.8.17|12.122.8.17|||GFPIP|true|||DLSTX21CRS|||BR|12.122.8.17|12.122.8.17|||||||
12.122.8.19|12.122.8.19|12.122.8.19|||GFPIP|true|||PHLPA21CRS|||BR|12.122.8.19|12.122.8.19|||||||
149.8.0.164|149.8.0.164|149.8.0.164|||OEW-VPLS|true||JUNIPER MX960|SANTX302VR1|||VR1|149.2.128.19|143.0.96.137|149.8.0.164||PROV|||cbbsnmp|
165.87.245.225|165.87.245.225|165.87.245.225|||GFPIP|true|||CAVANC1001ME2|||AR|165.87.245.225|165.87.245.225|||||8003||
32.119.223.124|32.119.223.124|32.119.223.124|||GFPIP|true|||PTPORT1002ME2|||AR|32.119.223.124|32.119.223.124|||||||
12.82.32.17|12.82.32.17|12.82.32.17|||GFPIP|true|||||||12.82.32.17|12.82.32.17|||||379||
12.82.104.13|12.82.104.13|12.82.104.13|||GFPIP|true|||||||12.82.104.13|12.82.104.13|||||887||
12.82.78.17|12.82.78.17|12.82.78.17|||GFPIP|true|||||||12.82.78.17|12.82.78.17|||||958||
12.82.40.84|12.82.40.84|12.82.40.84|||GFPIP|true|||||||12.82.40.84|12.82.40.84|||||582||
12.82.146.17|12.82.146.17|12.82.146.17|||GFPIP|true|||||||12.82.146.17|12.82.146.17|||||||
135.184.241.15|135.184.241.15|135.184.241.15|EGS-CFO|EGS|||||clevohegs01-c6513||||||||||||
12.82.118.4|12.82.118.4|12.82.118.4|||GFPIP|true|||||||12.82.118.4|12.82.118.4|||||3003||
12.122.127.69|12.122.127.69|12.122.127.69|EGS-CFO|EGS|||||cgcil65ck4||||||||||||
165.87.245.81|165.87.245.81|165.87.245.81|EGS-CFO|EGS|||||PELIMA1002CR1||||||||||||
12.82.64.1|12.82.64.1|12.82.64.1|||GFPIP|true|||||||12.82.64.1|12.82.64.1|||||3123||
12.82.127.2|12.82.127.2|12.82.127.2|||GFPIP|true|||||||12.82.127.2|12.82.127.2|||||3057||
12.122.83.226|12.122.83.226|12.122.83.226|EGS-CFO|EGS|||||st6wa36ck4||||||||||||
12.82.0.93|12.82.0.93|12.82.0.93|||GFPIP|true|||||||12.82.0.93|12.82.0.93|||||3050||
12.123.71.2|12.123.71.2|12.123.71.2|EGS-CFO|EGS|||||mmptn307me1||||||||||||
12.122.127.144|12.122.127.144|12.122.127.144|EGS-CFO|EGS|||||rlgnc36ck4||||||||||||
12.122.125.78|12.122.125.78|12.122.125.78|EGS-CFO|EGS|||||ormfl52ck4||||||||||||
12.123.71.64|12.123.71.64|12.123.71.64|EGS-CFO|EGS|||||mpsmn307me1||||||||||||
12.122.125.17|12.122.125.17|12.122.125.17|EGS-CFO|EGS|||||la2ca38ck4||||||||||||
12.122.125.81|12.122.125.81|12.122.125.81|EGS-CFO|EGS|||||ormfl38ck4||||||||||||
12.122.83.78|12.122.83.78|12.122.83.78|EGS-CFO|EGS|||||nsvtn31ck4||||||||||||
12.122.83.95|12.122.83.95|12.122.83.95|EGS-CFO|EGS|||||sffca38ck4||||||||||||
12.123.67.200|12.123.67.200|12.123.67.200|EGS-CFO|EGS|||||ftwtx302me1||||||||||||
165.87.103.146|165.87.103.146|165.87.103.146|EGS-CFO|EGS|||||CHZRCH1081CR1||||||||||||
206.13.7.26|206.13.7.26|206.13.7.26|||GFPIP|true|||LA0CA82CRS|||BR|206.13.7.26|206.13.7.26|||||||
12.123.71.134|12.123.71.134|12.123.71.134|EGS-CFO|EGS|||||n54ny316me1||||||||||||
12.82.86.11|12.82.86.11|12.82.86.11|||GFPIP|true|||||||12.82.86.11|12.82.86.11|||||145||
12.123.70.81|12.123.70.81|12.123.70.81|EGS-CFO|EGS|||||ormfl307me1||||||||||||
12.82.16.12|12.82.16.12|12.82.16.12|||GFPIP|true|||||||12.82.16.12|12.82.16.12|||||112||
